"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","VI","TH","FI"
"TID_EVENT_TITLE_BLACK_FRIDAY","Black Friday Pack","Pack de Black Friday","Black-Friday-Paket","Lote del Black Friday","Pacchetto Black Friday","Black Friday-pakket","Black Friday-pakke","Pacote de Black Friday","Kara Cuma Paketi","ブラックフライデーパック","黑色星期五礼包","블랙프라이데이 팩","Черная пятница","مجموعة بلاك فرايداي","黑色星期五特惠包","بسته جمعه سیاه","Paket Black Friday","Pek Black Friday","Gói ngày Thứ Sáu Đen","แพ็คแบล็กฟรายเดย์","Black Friday -paketti"
"TID_EVENT_ANIMATION_DIWALI","Happy Diwali!","Joyeux Diwali !","Frohes Diwali!","¡Feliz Diwali!","È iniziato il Diwali!","Fijne Divali!","Ha en fin diwali!","Feliz Diwali!","Diwali festivaliniz kutlu olsun!","ディワリを祝いましょう！","排灯节快乐！","디왈리를 함께 기념해요!","С праздником Дивали!","مهرجان ديوالي سعيد!","排燈節快樂！","دیوالی مبارک!","Diwali Meriah!","Selamat Hari Deepavali!","Chào mừng lễ Diwali!","สุขสันต์ดิวาลี!","Hyvää diwalia!"
"TID_EVENT_TITLE_NEW_SINGLES_DAY","Singles Day Special","Offre de la fête des célibataires","Singles’-Day-Special","Especial del Día del Soltero","Giornata dei single","Vrijgezellendagspecial","Tilbud på singeldagen","Especial do dia dos solteiros","Bekârlar Gününe Özel","光棍節スペシャル","双十一特惠","11.11 스페셜","Акция ко Дню холостяков","عرض يوم العُزاب الخاص","雙11特惠","ویژه روز مجردها","Spesial Hari Jomblo","Istimewa Hari Bujang","Ưu đãi ngày lễ độc thân","พิเศษวันคนโสด","Sinkkujen päivän tarjous"
"TID_EVENT_ANIMATED_TEXT_SINGLES_DAY","Celebrate Singles Day!","Fêtez la journée des célibataires !","Feiere den Singles’ Day!","¡Celebra el Día del Soltero!","Festeggia la giornata dei single!","Vier Vrijgezellendag!","Feir singeldagen!","Comemore o dia dos solteiros!","Bekârlar Gününü Kutluyoruz!","光棍節をお祝いしましょう！","嗨爆双十一！","11.11을 기념해요!","Празднуем День холостяков!","احتفل بيوم العُزاب","歡慶雙11！","روز مجردها را جشن بگیرید!","Ayo Meriahkan Hari Jomblo!","Meraikan Hari Bujang!","Chúc mừng ngày lễ độc thân!","ฉลองวันคนโสด!","Juhlista sinkkujen päivää!"
"TID_EVENT_ANIMATION_MERRYXMAS","Merry Clashmas!","Joyeux Clash Noël !","Frohe Clash-Weihnacht!","¡Feliz Clashvidad!","Buon Clashtale!","Vrolijk Clashmis!","God clashmas!","Feliz Natal do Clash!","Mutlu bir Clash Yeni Yılı dileriz!","メリークラッシュマス！","Clash圣诞节快乐！","메리 클래시마스!","С Clash-Рождеством!","عيد Clash سعيد!","Clash聖誕節快樂！","کلش کریسمس مبارک!","Selamat Clashmas!","Selamat Clashmas!","Chúc mừng Giáng Sinh Clash!","สุขสันต์วันแคลชมาส!","Hyvää Clashin joulua!"
"TID_EVENT_TITLE_XMAS_GEMS","Clashmas Gem Bundle","Lot de gemmes de Clash Noël","Clash-Weihnachts-Bundle","Combo de gemas de Clashvidad","Bundle di gemme clashtalizio","Clashmis-edelstenenbundel","Clashmas-juvelpakke","Pacote de gemas Clash Natalino","Clash Yeni Yılı Taş Paketi","クラッシュマス エメラルドセット","Clash圣诞节宝石大礼包","클래시마스 보석 묶음 상품","Набор к Clash-Рождеству","باقة جواهر عيد Clash","Clash聖誕節寶石特惠包","بسته ترکیبی جواهر کلش کریسمس","Paket Permata Clashmas","Pek Permata Clashmas","Gói Ngọc Giáng Sinh Clash","ห่ออัญมณีแคลชมาส","Clashin joulun timanttipaketti"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TID_EVENT_TITLE_MEGABUILDER","Mega Builder Pack","Méga pack ouvrier","Mega-Bauarbeiterpaket","Megalote de constructor","Megapacchetto del costruttore","Mega-bouwvakkerspakket","Megabyggepakke","Megapacote do Construtor","Mega İnşaatçı Paketi","メガ大工パック","超级建筑工人礼包","메가 장인 팩","Меганабор строителя","حزمة البنّاء العملاقة","超級建築工人特惠包","بسته سازنده مگا","Paket Tukang Mega","Pek Pembina Mega","Gói Thợ xây Siêu cấp","แพ็คช่างก่อสร้างเมก้า","Megarakentajapaketti"
"TID_EVENT_TITLE_DUOBUILDER","Duo Builder Pack","Pack ouvrier duo","Duo-Bauarbeiterpaket","Lote doble de constructor","Pacchetto del duo di costruttori","Duo-bouwvakkerspakket","Duobyggepakke","Pacote duplo do Construtor","Çift İnşaatçı Paketi","コンビ大工パック","建筑工人搭档礼包","듀오 장인 팩","Набор с двумя строителями","حزمة البنّاء الثنائية","建築工人搭檔特惠包","بسته سازنده دوتایی","Paket Tukang Duo","Pek Pasangan Pembina","Gói Bộ đôi Thợ xây","แพ็คช่างก่อสร้างคู่หู","Tuplarakentajapaketti"
,,,,,,,,,,,,,,,,,,,,,
"TID_EVENT_TITLE_GEARFEAR","Geared & Feared","Équipé et redouté","Gerüstet & gefürchtet","Armados y temidos","Equipaggiati e contenti","Uitgerust en afschrikwekkend","Utrustet og fryktet","Armados e Venerados","Gelişmiş ve Değişmiş","恐怖の改造","骇人装备","유비유환","Снаряжен и опасен","عتاد يثير الارتعاد","驚懼武裝","مجهز و ترسیده","Melindungi & Mengayomi","Berlengkap & Ditakuti","Trang bị & Sợ hãi","ชุดขนพองสยองเกล้า","Varusteltu ja pelätty"
"TID_EVENT_TITLE_GEARUP","Geared Up","Équipé à bloc","Ausgezeichnet ausgerüstet","Armados","Equipaggiati fino ai denti","Sterk verbeterd","I full utrustning","Armado até os dentes","Geliştirilmiş","改造計画","全副武装","완전무장","Полный фарш","أتم الاستعداد","全副武裝","آماده‌به‌کار","Persenjataan Lengkap","Berlengkap","Củng cố","ชุดจัดเต็ม","Valmiina taistoon"
"TID_EVENT_TITLE_ARMORFARMER","Armor Farmer","Farm d'armures","Rüstungsrandale","Experto en armaduras","Esperto di armi","Uitermate uitgerust","Panserbonde","Fazendeiro de armadura","Zırhlı Çiftçi","武装農民","武装农夫","갑옷 농부","Броневик","جامع الدروع","武裝農夫","زره‌ورز","Kolektor","Peladang Berperisai","Nông dân mặc giáp","ชุดเกราะนักฟาร์ม","Kilpavarustelua"
"TID_EVENT_TITLE_EQUIPMENTSHIPMENT","Equipment Shipment","Provisions d'équipements","Ausrüstungsaufrüstung","Lote de equipo","Equipaggiamenti à gogo","Uitrustingsbewust","Utstyrsforsendelse","Lote de equipamentos","Ekipman Teslimatı","装備の配送","装备速递","장비 배송","Поставка оборудования","شحنة المعدات","裝備快遞","حمل‌ونقل تجهیزات","Pengiriman Perlengkapan","Penghantaran Peralatan","Cung cấp trang bị","จัดส่งอุปกรณ์","Varustetoimitus"
"TID_EVENT_TITLE_HEAVEYMETAL","Heavy Metal","Heavy Metal","Heavy Metal","Metales pesados","Metalli pesanti","Zwaar metaal","Tungmetall","Heavy metal","Heavy Metal","ヘヴィメタル","重金属","헤비메탈","Хэви-метал","هيفي ميتال","重金屬","هِوی متال","Heavy Metal","Logam Berat","Trang bị kim loại","เฮฟวีเมทัล","Hevimetallia"
"TID_EVENT_TITLE_METALMASTERS","Metal Masters","Maîtres du métal","Metallmeister","Maestría de metales","Fabbri ferrai","Metaalmeesters","Metallmestre","Mestres do metal","Metalin Ustaları","メタルマスター","金属大师","메탈 마스터","Повелители металла","أبطال المعدن","金屬大師","استادان فلز","Master Metal","Pakar Logam","Bậc thầy kim loại","เจ้าแห่งโลหะ","Metallin mestarit"
"TID_EVENT_TITLE_IRONMAIDENS","Iron Maidens","Anges de fer","Iron Maidens","Metalizados","Donne d'acciaio","Metalen meiden","Jernjomfruer","Damas de ferro","Metalci Kızlar","鉄の乙女","钢铁女杰","아이언 메이든","Железные девы","الفتيات الحديديات","鋼鐵英豪","آیرن میدنز","Gadis Metal","Dayang Besi","Thiếu nữ sắt","นักรบเหล็กกล้า","Rautaneidot"
,,,,,,,,,,,,,,,,,,,,,
"TID_EVENT_TITLE_CLASHNATURE","Clash For Nature","Clash pour la nature","Clash für die Natur","Clash por la naturaleza","Battaglia per la natura","Clash voor de natuur","Clash for naturen","Clash for Nature","Doğa İçin Clash","クラッシュ・エコロジー","为自然而战","자연을 위해 클래시","Битва за природу!","العب Clash من أجل الطبيعة","為自然而戰","Clash برای طبیعت","Dari Clash untuk Alam","Bertempur untuk alam","Chiến đấu vì thiên nhiên","Clash เพื่อธรรมชาติ","Clash luonnon puolesta"
"TID_EVENT_ANIMATION_ENJOYYOURREWARD","Enjoy your reward!","Profitez de votre récompense !","Viel Spaß mit der Belohnung!","¡Disfruta de la recompensa!","Goditi la tua ricompensa!","Geniet van je beloning!","Gled deg over belønningen!","Aproveite a recompensa!","Ödülünün tadını çıkar!","報酬をお受け取りください！","尽情享受奖励吧！","보상을 받으세요!","Ваша награда!","استمتع بجائزتك","盡情享受獎勵吧！","از جایزه‌تان لذت ببرید!","Nikmati hadiahmu!","Nikmati ganjaran anda!","Hãy tận hưởng phần thưởng của bạn!","สนุกกับรางวัลของท่าน!","Toivottavasti pidät lahjastasi!"
"TID_EVENT_ANIMATION_WOMENSDAY","Happy Women's Day!","Journée des femmes !","Frohen Internationalen Frauentag!","¡Feliz Día de la Mujer!","Buona Festa della donna!","Fijne Vrouwendag!","Gratulerer med kvinnedagen!","Feliz Dia das Mulheres!","Kadınlar Günü Kutlu Olsun!","国際女性デーを祝いましょう！","妇女节快乐！","여성의 날 기념!","С Международным женским днем!","عيد مرأة سعيد!","婦女節快樂！","روز زن مبارک!","Selamat Hari Wanita Sedunia!","Selamat Hari Wanita!","Chúc mừng ngày Quốc tế Phụ nữ!","สุขสันต์วันสตรีสากล!","Hyvää naistenpäivää!"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TID_EVENT_ANIMATION_READYFORTH16","Ready for Town Hall 16!","Prêts pour l'hôtel de ville 16 !","Bereit für Rathaus-Level 16!","¡Todo listo para el ayuntamiento de nivel 16!","Obiettivo: municipio 16","Klaar voor stadhuislevel 16!","Klar for rådhus 16!","Pronto para centro da vila 16!","Belediye Binası 16'ya Hazır Ol!","タウンホール16に備えよう！","准备迎接16级大本营！","마을회관 16을 준비하세요!","Все для ратуши 16-го уровня!","استعد لقاعة المدينة 16!","準備迎接16級大本營！","آماده تالار شهر 16 باشید!","Ayo Sambut Balai Kota 16!","Bersedia untuk Dewan Bandaran 16!","Chuẩn bị sẵn sàng cho Nhà Chính 16!","เตรียมพร้อมรับศาลากลาง 16!","Valmiina päärakennuksen tasolle 16!"
"TID_EVENT_ANIMATION_READYFORTH17","Ready for Town Hall 17!","Prêts pour l'hôtel de ville 17 !","Bereit für Rathaus-Level 17!","¡Todo listo para el ayuntamiento de nivel 17!","Obiettivo: municipio 17","Klaar voor stadhuislevel 17!","Klar for rådhus 17!","Pronto para centro da vila 17!","Belediye Binası 17'ye Hazır Ol!","タウンホール17に備えよう！","准备迎接17级大本营！","마을회관 17을 준비하세요!","Все для ратуши 17-го уровня!","استعد لقاعة المدينة 17!","準備迎接17級大本營！","آماده تالار شهر 17 باشید!","Ayo Sambut Balai Kota 17!","Bersedia untuk Dewan Bandaran 17!","Chuẩn bị sẵn sàng cho Nhà Chính 17!","เตรียมพร้อมรับศาลากลาง 17!","Valmiina päärakennuksen tasolle 17!"
"TID_EVENT_TITLE_MERGETOWERPACK","Merge Tower Pack","Pack Fusion de tour","Kombiturm-Paket","Lote de torre fusionada","Pacchetto torre evoluta","Multi-torenpakket","Kombotårnpakke","Pacote da Torre de Fusão","Birleştirme Kule Paketi","タワー合体パック","双塔合并礼包","타워 합체 팩","Набор «Объединение башен»","باقة برج الدمج","雙塔合併特惠包","بسته ادغام بمب","Paket Gabungan Benteng","Pek Menara Gabung","Gói tháp kết hợp","แพ็คผสานรวมหอคอย","Torninyhdistyspaketti"
"TID_EVENT_TITLE_EVENTMEDALS","Event Medals","Médailles d'événement","Ereignismedaillen","Medallas de evento","Medaglie dell'evento","Evenementmedailles","Hendelsemedaljer","Medalhas de eventos","Etkinlik Madalyaları","イベントメダル","活动奖章","이벤트 메달","Медали события","أوسمة الأحداث","活動幣","مدال‌های رویداد","Medali Acara","Pingat Acara","Huy chương sự kiện","เหรียญอีเวนท์","Tapahtumamitalit"
"TID_EVENT_TITLE_COOKIEMEDALS","Cookie Medals","Médailles biscuits","Plätzchen-Medaillen","Medallas de galletas","Medaglie biscotto","Koekjesmedailles","Småkakemedaljer","Medalhas de biscoito","Kurabiye Madalyaları","クッキーメダル","饼干奖章","쿠키 메달","Медали из печенья","أوسمة الكعك","餅乾幣","مدال‌های شیرینی","Medali Kue","Pingat Biskut","Huy chương bánh quy","เหรียญคุกกี้","Keksimitalit"
"TID_EVENT_TITLE_GETBLACKSMITH","Get Blacksmith","Recruter un forgeron","Schmied anheuern","Consigue la herrería","Un fabbro per amico","Aanbieding: de smid","Hent smeden","Contrate um ferreiro","Demirciyi Al","鍛冶屋をゲット","获取铁匠铺","대장간 프로모션","Акция для кузницы","احصل على الحداد","獲取鐵匠鋪","دریافت آهنگر","Dapatkan Bengkel Pandai Besi","Dapatkan Tukang Besi","Tuyển thợ rèn","สร้างโรงตีเหล็ก","Hanki ahjo"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TID_EVENT_TITLE_UBOFFER","Upgrade Buildings","Améliorer les bâtiments","Gebäude verbessern","Mejorar edificios","Migliora gli edifici","Gebouwen upgraden","Oppgrader bygninger","Melhore construções","Bina Yükseltmeleri","施設のアップグレード","升级建筑","건물 업그레이드","Улучшение зданий","ترقية المباني","升級建築","ارتقاء ساختمان‌ها","Tingkatkan Bangunan","Naik Taraf Bangunan","Nâng cấp công trình","อัปเกรดสิ่งก่อสร้าง","Päivitä rakennuksia"
"TID_EVENT_TITLE_UTOFFER","Upgrade Troops","Améliorer les troupes","Truppen verbessern","Mejorar tropas","Migliora le truppe","Troepen upgraden","Oppgrader tropper","Melhore tropas","Birlik Yükseltmeleri","ユニットのアップグレード","升级部队","유닛 업그레이드","Улучшение воинов","ترقية القوات","升級部隊","ارتقاء نیروها","Tingkatkan Peleton","Naik Taraf Askar","Nâng cấp binh lính","อัปเกรดกองกำลัง","Päivitä joukkoja"
"TID_EVENT_TITLE_UHOFFER","Upgrade Heroes","Améliorer les héros","Helden verbessern","Mejorar héroes","Migliora gli eroi","Helden upgraden","Oppgrader helter","Melhore heróis","Kahraman Yükseltmeleri","ヒーローのアップグレード","升级英雄","영웅 업그레이드","Улучшение героев","ترقية الأبطال","升級英雄","ارتقاء قهرمان‌ها","Tingkatkan Pahlawan","Naik Taraf Wira","Nâng cấp tướng","อัปเกรดผู้กล้า","Päivitä sankareita"
"TID_EVENT_TITLE_USOFFER","Upgrade Spells","Améliorer les sorts","Zauber verbessern","Mejorar hechizos","Migliora gli incantesimi","Spreuken upgraden","Oppgrader formler","Melhore feitiços","Büyü Yükseltmeleri","呪文のアップグレード","升级法术","마법 업그레이드","Улучшение заклинаний","ترقية التعويذات","升級法術","ارتقای طلسم‌ها","Tingkatkan Mantra","Naik Taraf Sihir","Nâng cấp thần chú","อัปเกรดอาคม","Päivitä loitsuja"
"TID_EVENT_TITLE_FTOFFER","Finish them!","Finissez-les !","Fertig machen!","¡Termínalo todo!","Finiscili!","Voltooi ze!","Ta knekken på dem!","Finalize tudo!","Bitime zamanı!","今すぐ完了しましょう！","立即完成！","업그레이드 완료!","Завершение улучшений","أنهها كلها!","立即完成！","کارشان را تمام کن!","Ayo selesaikan!","Selesaikannya!","Hạ gục bọn họ!","จัดการซะ!","Selvää jälkeä!"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TID_GEAR_RESOURCE_COMMON","Shiny Ore","Minerai brillant","Glanzerz","Minerales brillantes","Minerali lucenti","Glanzend erts","Blank malm","Minério azul","Parlak Cevher","ブルー鉱石","闪亮矿石","빛나는 광석","Блестящая руда","معدن خام لامع","閃光礦石","سنگ معدن براق","Mineral Berkilau","Bijih Berkilau","Quặng sáng bóng","แร่วิบวับ","Kimallemalmia"
"TID_GEAR_RESOURCE_RARE","Glowy Ore","Minerai luisant","Glimmerz","Minerales radiantes","Minerali raffinati","Glimmend erts","Skinnende malm","Minério brilhante","Işıltılı Cevher","パープル鉱石","璀璨矿石","은은한 광석","Сияющая руда","معدن خام متوهج","輝光礦石","سنگ معدن درخشان","Mineral Gemilang","Bijih Bercahaya","Quặng lấp lánh","แร่เรืองรอง","Hohtomalmia"
"TID_GEAR_RESOURCE_EPIC","Starry Ore","Minerai étoilé","Sternenerz","Minerales estelares","Minerali stellari","Glinsterend erts","Stjernemalm","Minério estelar","Yıldız Cevher","スター鉱石","星辉矿石","반짝이는 광석","Звездная руда","معدن خام نجمي","星光礦石","سنگ معدن ستاره‌ای","Mineral Astral","Bijih Berbintang","Quặng ngôi sao","แร่ประกายดาว","Tähtimalmia"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TID_DIAMOND_BUNDLE_TH4","Town Hall 4 Pack","Pack hôtel de ville 4","Paket: Rathaus-Level 4","Lote de ayuntamiento de nivel 4","Pacchetto municipio 4","Stadhuis 4-pakket","Rådhus 4-pakke","Pacote Centro da Vila 4","Belediye Binası 4 Paketi","タウンホール４パック","4级大本营礼包","마을회관 4 팩","Набор ратуши 4","حزمة قاعة المدينة 4","4級大本營特惠包","بسته تالار شهر سطح ۴","Paket Balai Kota 4","Pek Dewan Bandar 4","Gói Nhà Chính 4","แพ็คศาลากลาง 4","Tason 4 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH5","Town Hall 5 Pack","Pack hôtel de ville 5","Paket: Rathaus-Level 5","Lote de ayuntamiento de nivel 5","Pacchetto municipio 5","Stadhuis 5-pakket","Rådhus 5-pakke","Pacote Centro da Vila 5","Belediye Binası 5 Paketi","タウンホール５パック","5级大本营礼包","마을회관 5 팩","Набор ратуши 5","حزمة قاعة المدينة 5","5級大本營特惠包","بسته تالار شهر سطح ۵","Paket Balai Kota 5","Pek Dewan Bandar 5","Gói Nhà Chính 5","แพ็คศาลากลาง 5","Tason 5 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH6","Town Hall 6 Pack","Pack hôtel de ville 6","Paket: Rathaus-Level 6","Lote de ayuntamiento de nivel 6","Pacchetto municipio 6","Stadhuis 6-pakket","Rådhus 6-pakke","Pacote Centro da Vila 6","Belediye Binası 6 Paketi","タウンホール６パック","6级大本营礼包","마을회관 6 팩","Набор ратуши 6","حزمة قاعة المدينة 6","6級大本營特惠包","بسته تالار شهر سطح ۶","Paket Balai Kota 6","Pek Dewan Bandar 6","Gói Nhà Chính 6","แพ็คศาลากลาง 6","Tason 6 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH7","Town Hall 7 Pack","Pack hôtel de ville 7","Paket: Rathaus-Level 7","Lote de ayuntamiento de nivel 7","Pacchetto municipio 7","Stadhuis 7-pakket","Rådhus 7-pakke","Pacote Centro da Vila 7","Belediye Binası 7 Paketi","タウンホール７パック","7级大本营礼包","마을회관 7 팩","Набор ратуши 7","حزمة قاعة المدينة 7","7級大本營特惠包","بسته تالار شهر سطح ۷","Paket Balai Kota 7","Pek Dewan Bandar 7","Gói Nhà Chính 7","แพ็คศาลากลาง 7","Tason 7 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH8","Town Hall 8 Pack","Pack hôtel de ville 8","Paket: Rathaus-Level 8","Lote de ayuntamiento de nivel 8","Pacchetto municipio 8","Stadhuis 8-pakket","Rådhus 8-pakke","Pacote Centro da Vila 8","Belediye Binası 8 Paketi","タウンホール８パック","8级大本营礼包","마을회관 8 팩","Набор ратуши 8","حزمة قاعة المدينة 8","8級大本營特惠包","بسته تالار شهر سطح ۸","Paket Balai Kota 8","Pek Dewan Bandar 8","Gói Nhà Chính 8","แพ็คศาลากลาง 8","Tason 8 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH9","Town Hall 9 Pack","Pack hôtel de ville 9","Paket: Rathaus-Level 9","Lote de ayuntamiento de nivel 9","Pacchetto municipio 9","Stadhuis 9-pakket","Rådhus 9-pakke","Pacote Centro da Vila 9","Belediye Binası 9 Paketi","タウンホール９パック","9级大本营礼包","마을회관 9 팩","Набор ратуши 9","حزمة قاعة المدينة 9","9級大本營特惠包","بسته تالار شهر سطح ۹","Paket Balai Kota 9","Pek Dewan Bandar 9","Gói Nhà Chính 9","แพ็คศาลากลาง 9","Tason 9 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH10","Town Hall 10 Pack","Pack hôtel de ville 10","Paket: Rathaus-Level 10","Lote de ayuntamiento de nivel 10","Pacchetto municipio 10","Stadhuis 10-pakket","Rådhus 10-pakke","Pacote Centro da Vila 10","Belediye Binası 10 Paketi","タウンホール１０パック","10级大本营礼包","마을회관 10 팩","Набор ратуши 10","حزمة قاعة المدينة 10","10級大本營特惠包","بسته تالار شهر سطح ۱۰","Paket Balai Kota 10","Pek Dewan Bandar 10","Gói Nhà Chính 10","แพ็คศาลากลาง 10","Tason 10 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH11","Town Hall 11 Pack","Pack hôtel de ville 11","Paket: Rathaus-Level 11","Lote de ayuntamiento de nivel 11","Pacchetto municipio 11","Stadhuis 11-pakket","Rådhus 11-pakke","Pacote Centro da Vila 11","Belediye Binası 11 Paketi","タウンホール１１パック","11级大本营礼包","마을회관 11 팩","Набор ратуши 11","حزمة قاعة المدينة 11","11級大本營特惠包","بسته تالار شهر سطح ۱۱","Paket Balai Kota 11","Pek Dewan Bandar 11","Gói Nhà Chính 11","แพ็คศาลากลาง 11","Tason 11 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH12","Town Hall 12 Pack","Pack hôtel de ville 12","Paket: Rathaus-Level 12","Lote de ayuntamiento de nivel 12","Pacchetto municipio 12","Stadhuis 12-pakket","Rådhus 12-pakke","Pacote Centro da Vila 12","12. Belediye Binası Paketi","タウンホール12パック","12级大本营礼包","마을회관 12 팩","Набор ратуши 12","مجموعة قاعة المدينة 12","12級大本營特惠包","بسته تالار شهر 12","Paket Balai Kota 12","Pek Dewan Bandaran 12","Gói Nhà Chính 12","แพ็คศาลากลางเลเวล 12","Tason 12 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH13","Town Hall 13 Pack","Pack hôtel de ville 13","Paket: Rathaus-Level 13","Lote de ayuntamiento de nivel 13","Pacchetto municipio 13","Stadhuis 13-pakket","Rådhus 13-pakke","Pacote centro da vila 13","13. Belediye Binası Paketi","タウンホール13パック","13级大本营礼包","마을회관 13 팩","Набор ратуши 13","مجموعة قاعة المدينة 13","13級大本營特惠包","بسته تالار شهر 13","Paket Balai Kota 13","Pek Dewan Bandaran 13","Gói Nhà Chính 13","แพ็คศาลากลางเลเวล 13","Tason 13 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH14","Town Hall 14 Pack","Pack hôtel de ville 14","Paket: Rathaus-Level 14","Lote de ayuntamiento de nivel 14","Pacchetto municipio 14","Stadhuis 14-pakket","Rådhus 14-pakke","Pacote centro da vila 14","14. Belediye Binası Paketi","タウンホール14パック","14级大本营礼包","마을회관 14 팩","Набор ратуши 14","مجموعة قاعة المدينة 14","14級大本營特惠包","بسته تالار شهر ۱۴","Paket Balai Kota 14","Pek Dewan Bandaran 14","Gói Nhà Chính 14","แพ็คศาลากลางเลเวล 14","Tason 14 päärakennuspaketti"
"TID_DIAMOND_BUNDLE_TH15","Town Hall 15 Pack","Pack hôtel de ville 15","Paket: Rathaus-Level 15","Lote de ayuntamiento de nivel 15","Pacchetto municipio 15","Stadhuis 15-pakket","Rådhus 15-pakke","Pacote centro da vila 15","15. Belediye Binası Paketi","タウンホール15パック","15级大本营礼包","마을회관 15 팩","Набор ратуши 15","مجموعة قاعة المدينة 15","15級大本營特惠包","بسته تالار شهر 15","Paket Balai Kota 15","Pek Dewan Bandaran 15","Gói Nhà Chính 15","แพ็คศาลากลางเลเวล 15","Tason 15 päärakennuspaketti"
"TID_EVENT_TITLE_TH16PACK","Town Hall 16 Pack","Pack Hôtel de ville 16","Paket: Rathaus-Level 16","Lote de ayuntamiento de nivel 16","Pacchetto municipio 16","Stadhuis 16-pakket","Rådhus 16-pakke","Pacote centro da vila 16","Belediye Binası 16 Paketi","タウンホール16パック","16级大本营礼包","마을회관 16 팩","Набор ратуши 16","باقة قاعة المدينة 16","16級大本營特惠包","بسته تالار شهر 16","Paket Balai Kota 16","Pek Dewan Bandaran 16","Gói Nhà Chính 16","แพ็คศาลากลางเลเวล 16","Tason 16 päärakennuspaketti"
"TID_EVENT_TITLE_TH17PACK","Town Hall 17 Pack","Pack Hôtel de ville 17","Paket: Rathaus-Level 17","Lote de ayuntamiento de nivel 17","Pacchetto municipio 17","Stadhuis 17-pakket","Rådhus 17-pakke","Pacote centro da vila 17","Belediye Binası 17 Paketi","タウンホール17パック","17级大本营礼包","마을회관 17 팩","Набор ратуши 17","باقة قاعة المدينة 17","17級大本營特惠包","بسته تالار شهر 17","Paket Balai Kota 17","Pek Dewan Bandaran 17","Gói Nhà Chính 17","แพ็คศาลากลางเลเวล 17","Tason 17 päärakennuspaketti"
